player_id,opponent_id,match_id,date,tournament_name,tournament_id,result,match_progress,num_players_round,points_scored,points_allowed,fastest_ball_speed,aces
53,17,1,2010-02-02,Sovereign Cup,0,W,"['1:0', '2:0', '3:0', '4:0', '5:0', '5:1', '5:2', '6:2', '7:2', '8:2', '9:2', '9:3', '10:3', '10:4', '10:5', '11:5']",32,11,5,138.7,2
17,53,1,2010-02-02,Sovereign Cup,0,L,"['1:0', '2:0', '3:0', '4:0', '5:0', '5:1', '5:2', '6:2', '7:2', '8:2', '9:2', '9:3', '10:3', '10:4', '10:5', '11:5']",32,5,11,149.5,1
24,5,2,2010-02-02,Sovereign Cup,0,W,"['1:0', '2:0', '3:0', '3:1', '3:2', '3:3', '3:4', '3:5', '3:6', '4:6', '5:6', '6:6', '7:6', '7:7', '8:7', '9:7', '10:7', '11:7']",32,11,7,152.9,0
5,24,2,2010-02-02,Sovereign Cup,0,L,"['1:0', '2:0', '3:0', '3:1', '3:2', '3:3', '3:4', '3:5', '3:6', '4:6', '5:6', '6:6', '7:6', '7:7', '8:7', '9:7', '10:7', '11:7']",32,7,11,145.0,0
27,25,3,2010-02-02,Sovereign Cup,0,W,"['1:0', '1:1', '2:1', '3:1', '3:2', '4:2', '5:2', '6:2', '6:3', '6:4', '6:5', '7:5', '8:5', '9:5', '9:6', '9:7', '10:7', '11:7']",32,11,7,144.4,1
25,27,3,2010-02-02,Sovereign Cup,0,L,"['1:0', '1:1', '2:1', '3:1', '3:2', '4:2', '5:2', '6:2', '6:3', '6:4', '6:5', '7:5', '8:5', '9:5', '9:6', '9:7', '10:7', '11:7']",32,7,11,134.5,1
64,35,4,2010-02-02,Sovereign Cup,0,W,"['0:1', '1:1', '1:2', '2:2', '3:2', '4:2', '5:2', '6:2', '6:3', '6:4', '6:5', '6:6', '7:6', '8:6', '9:6', '9:7', '10:7', '10:8', '11:8']",32,11,8,143.5,1
35,64,4,2010-02-02,Sovereign Cup,0,L,"['0:1', '1:1', '1:2', '2:2', '3:2', '4:2', '5:2', '6:2', '6:3', '6:4', '6:5', '6:6', '7:6', '8:6', '9:6', '9:7', '10:7', '10:8', '11:8']",32,8,11,140.6,0
47,60,5,2010-02-02,Sovereign Cup,0,W,"['0:1', '1:1', '1:2', '2:2', '3:2', '4:2', '5:2', '5:3', '6:3', '7:3', '8:3', '8:4', '9:4', '10:4', '10:5', '10:6', '11:6']",32,11,6,145.3,3
60,47,5,2010-02-02,Sovereign Cup,0,L,"['0:1', '1:1', '1:2', '2:2', '3:2', '4:2', '5:2', '5:3', '6:3', '7:3', '8:3', '8:4', '9:4', '10:4', '10:5', '10:6', '11:6']",32,6,11,150.9,1
